numProfessors;numStudents;fileSize;serializationTime;serializationSpeed;deserializationTime;deserializationSpeed
10;10;1427;13;109.76923076923077;10;142.7
10;100;9258;2;4629.0;7;1322.5714285714287
10;1000;87082;8;10885.25;15;5805.466666666666
10;10000;866328;15;57755.2;19;45596.21052631579
100;10;6568;0;Infinity;6;1094.6666666666667
100;100;14423;1;14423.0;5;2884.6
100;1000;92791;2;46395.5;6;15465.166666666666
100;10000;876984;7;125283.42857142857;8;109623.0
1000;10;57832;1;57832.0;4;14458.0
1000;100;65659;2;32829.5;4;16414.75
1000;1000;144053;4;36013.25;6;24008.833333333332
1000;10000;928761;7;132680.14285714287;10;92876.1
10000;10;570418;12;47534.833333333336;9;63379.77777777778
10000;100;578310;4;144577.5;6;96385.0
10000;1000;656733;9;72970.33333333333;7;93819.0
10000;10000;1441305;12;120108.75;11;131027.72727272728
