numProfessors;numStudents;fileSize;serializationTime;serializationSpeed;deserializationTime;deserializationSpeed
10;10;5484;7;783.4285714285714;55;99.7090909090909
10;100;36865;7;5266.428571428572;17;2168.529411764706
10;1000;348367;20;17418.35;67;5199.507462686567
10;10000;3468977;88;39420.193181818184;168;20648.67261904762
100;10;23373;2;11686.5;10;2337.3
100;100;54898;1;54898.0;11;4990.727272727273
100;1000;369418;6;61569.666666666664;16;23088.625
100;10000;3518507;54;65157.53703703704;94;37430.925531914894
1000;10;201537;4;50384.25;10;20153.7
1000;100;233034;3;77678.0;13;17925.69230769231
1000;1000;548070;7;78295.71428571429;21;26098.571428571428
1000;10000;3699495;50;73989.9;88;42039.71590909091
10000;10;1983123;26;76273.96153846153;48;41315.0625
10000;100;2014685;27;74617.96296296296;52;38743.942307692305
10000;1000;2329808;33;70600.24242424243;58;40169.10344827586
10000;10000;5481380;79;69384.55696202532;155;35363.74193548387
