{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Polo II, minimum temperature: 33.0, maximum temperature:208.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Polo II, minimum temperature: 33.0, maximum temperature:208.0}
{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Polo II, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Polo II, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Polo II, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Polo II, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Polo II, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Polo II, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Polo II, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Polo II, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Polo II, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Polo II, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Polo II, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Polo II, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Polo II, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Polo II, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Polo II, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Polo II, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Alta, minimum temperature: 32.0, maximum temperature:210.0}
{Location: Baixa, minimum temperature: 32.0, maximum temperature:208.0}
{Location: Polo II, minimum temperature: 32.0, maximum temperature:208.0}
