numProfessors;numStudents;serializationTime;serializationSpeed;compressTime;compressSpeed;serializationTime+compressTime;totalCompressionSpeed;deserializationTime;deserializationSpeed+decompressTime;decompressSpeed;deserializationTime+decompressTime;totalDecompressionSpeed;gzipSize;xmlSize
10;10;2;2742.0;3;430.0;5;9.117432530999271E-4;5;1096.86;914.0;11;0.0020058351568198397;1290;5484
10;100;5;7373.0;8;780.25;13;3.5263800352638004E-4;12;3072.08333333333356;6144.166666666667;18;4.8826800488268007E-4;6242;36865
10;1000;12;29030.583333333332;20;2644.75;32;9.18571506485976E-5;32;10886.4687510;34836.7;42;1.2056251022628435E-4;52895;348367
10;10000;66;52560.257575757576;106;4847.584905660377;172;4.95823408457306E-5;50;69379.5434;102028.73529411765;84;2.421463157582192E-5;513844;3468977
100;10;1;23373.0;9;556.8888888888889;10;4.2784409361228766E-4;1;23373.08;2921.625;9;3.850596842510589E-4;5012;23373
100;100;1;54898.0;10;1030.5;11;2.0037159823672993E-4;3;18299.3333333333326;9149.666666666666;9;1.639403985573245E-4;10305;54898
100;1000;5;73883.6;17;3438.470588235294;22;5.955313493116199E-5;6;61569.66666666666410;36941.8;16;4.3311370859026905E-5;58454;369418
100;10000;66;53310.71212121212;100;5332.35;166;4.717910181790174E-5;40;87962.67533;106621.42424242424;73;2.074743634160739E-5;533235;3518507
1000;10;3;67179.0;12;3374.25;15;7.442802066121853E-5;3;67179.07;28791.0;10;4.9618680440812356E-5;40491;201537
1000;100;3;77678.0;13;3546.0;16;6.86595089128625E-5;4;58258.58;29129.25;12;5.1494631684646877E-5;46098;233034
1000;1000;8;68508.75;21;4581.047619047619;29;5.291294907584798E-5;8;68508.7511;49824.545454545456;19;3.466710456693488E-5;96202;548070
1000;10000;58;63784.39655172414;110;5305.1;168;4.541160347560951E-5;43;86034.7674418604642;88083.21428571429;85;2.297610890135005E-5;583561;3699495
10000;10;28;70825.82142857143;64;6158.890625;92;4.639147445720714E-5;30;66104.127;73449.0;57;2.8742543957182686E-5;394169;1983123
10000;100;25;80587.4;63;6358.206349206349;88;4.367928485098167E-5;34;59255.4411764705923;87595.0;57;2.8292264051204034E-5;400567;2014685
10000;1000;37;62967.78378378379;78;5825.5;115;4.936029063339125E-5;29;80338.2068965517225;93192.32;54;2.3177875601766326E-5;454389;2329808
10000;10000;80;68517.25;176;5431.380681818182;256;4.670356734982796E-5;76;72123.4210526315759;92904.74576271187;135;2.462883434463584E-5;955923;5481380
