numProfessors;numStudents;fileSize;serializationTime;serializationSpeed;deserializationTime;deserializationSpeed
10;10;5415;6;902.5;36;150.41666666666666
10;100;36599;5;7319.8;17;2152.8823529411766
10;1000;348698;20;17434.9;65;5364.584615384615
10;10000;3467210;76;45621.18421052631;160;21670.0625
100;10;23377;2;11688.5;8;2922.125
100;100;54894;2;27447.0;10;5489.4
100;1000;369526;6;61587.666666666664;17;21736.823529411766
100;10000;3518660;49;71809.38775510204;90;39096.22222222222
1000;10;201519;3;67173.0;9;22391.0
1000;100;233070;4;58267.5;10;23307.0
1000;1000;548185;7;78312.14285714286;17;32246.176470588234
1000;10000;3699501;47;78712.78723404255;82;45115.865853658535
10000;10;1983115;25;79324.6;47;42193.936170212764
10000;100;2014702;25;80588.08;49;41116.36734693877
10000;1000;2329703;30;77656.76666666666;54;43142.648148148146
10000;10000;5481320;71;77201.69014084506;118;46451.86440677966
